a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c_orig,et_h_c_v2,et_h_d,et_h_e
13,1,17,0.23647294589178355,31.97457627118644,2,1,2,1,1000,2
12,1,5,0.8016032064128257,31.235,1000,1,1000,1000,1000,1000
9,1,4,0.250501002004008,11.024,1000,1,1000,9,1000,1000
14,1,7,0.0,0.0,1000,1,1000,8,1000,1000
16,1,15,0.06813627254509018,16.235294117647058,5,1,4,1,1000,7
19,1,6,0.1683366733466934,17.88095238095238,1000,1,1000,1000,1000,1000
9,1,16,0.12625250501002003,12.793650793650794,2,1,2,1,1000,2
2,1,14,0.0,0.0,1,2,1,1,5,1
12,1,8,0.0,0.0,11,1,7,3,1000,17
11,1,5,0.20040080160320642,13.35,1000,1,1000,13,1000,1000
6,1,17,0.9418837675350702,45.225531914893615,1,1,1,1,1000,1
9,1,14,0.21442885771543085,18.560747663551403,2,1,2,1,1000,2
12,1,4,0.0,0.0,1000,1,1000,13,1000,1000
19,1,18,0.056112224448897796,16.464285714285715,5,1,5,1,1000,7
18,1,4,0.0,0.0,1000,1,1000,1000,1000,1000
19,1,1,1.0,31.889779559118235,1000,1,1000,1000,1000,1000
14,1,4,0.0,0.0,1000,1,1000,95,1000,1000
16,1,5,0.20040080160320642,18.0,1000,1,1000,1000,1000,1000
10,1,6,0.0,0.0,1000,1,9,6,1000,1000
19,1,17,0.4709418837675351,80.68936170212766,6,1,5,1,1000,8
3,1,20,0.20040080160320642,7.35,1,1,1,1,9,1
4,1,18,0.0,0.0,1,1,1,1,1000,1
10,1,5,0.0,0.0,1000,1,1000,8,1000,1000
20,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
13,1,13,0.0,0.0,4,1,4,1,1000,7
2,1,9,0.6673346693386774,7.960960960960961,1,3,1,1,5,1
7,1,3,0.3346693386773547,10.754491017964073,1000,1,1000,9,1000,1000
7,1,20,0.20040080160320642,12.98,1,1,1,1,1000,1
7,1,3,0.3346693386773547,10.754491017964073,1000,1,1000,9,1000,1000
11,1,16,0.25250501002004005,23.055555555555557,2,1,2,1,1000,2
18,1,13,0.30861723446893785,43.577922077922075,8,1,8,1,1000,13
4,1,11,0.45691382765531063,11.640350877192983,1,1,1,1,1000,1
18,1,8,0.0,0.0,1000,1,1000,9,1000,1000
7,1,11,0.9098196392785571,36.16740088105727,2,1,2,1,1000,2
15,1,20,0.0,0.0,2,1,2,1,1000,2
9,1,20,0.10020040080160321,11.92,1,1,1,1,1000,1
12,1,18,0.0,0.0,2,1,2,1,1000,2
3,1,7,0.8577154308617234,11.186915887850468,1,1,1,1,46,1
19,1,15,0.13627254509018036,18.63235294117647,8,1,7,1,1000,18
20,1,12,0.0,0.0,1000,1,64,4,1000,1000
17,1,18,0.11022044088176353,26.90909090909091,4,1,4,1,1000,5
15,1,16,0.12625250501002003,24.26984126984127,4,1,4,1,1000,5
8,1,16,0.0,0.0,1,1,1,1,1000,1
4,1,2,0.0,0.0,1000,1,8,1000,1000,1000
5,1,5,0.0,0.0,4,1,2,3,1000,5
19,1,10,0.20040080160320642,29.44,1000,1,1000,5,1000,1000
6,1,4,0.0,0.0,10,1,5,4,1000,13
14,1,17,0.9418837675350702,111.12765957446808,3,1,2,1,1000,3
18,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
8,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
5,1,3,0.6673346693386774,10.561561561561561,12,1,5,6,1000,1000
16,1,20,0.0,0.0,2,1,2,1,1000,2
4,1,7,0.4308617234468938,9.0,2,1,2,1,1000,2
14,1,8,0.0,0.0,1000,1,17,5,1000,1000
19,1,18,0.056112224448897796,16.464285714285715,5,1,5,1,1000,7
12,1,7,0.8577154308617234,41.322429906542055,1000,1,12,5,1000,1000
12,1,16,0.0,0.0,2,1,2,1,1000,2
2,1,9,0.6673346693386774,7.960960960960961,1,3,1,1,5,1
3,1,10,0.40080160320641284,9.09,1,1,1,1,11,1
2,1,20,0.0,0.0,1,1,1,1,5,1
12,1,11,0.09218436873747494,14.76086956521739,5,1,4,1,1000,7
11,1,14,0.21442885771543085,22.91588785046729,2,1,2,1,1000,2
8,1,16,0.0,0.0,1,1,1,1,1000,1
12,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
16,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
13,1,11,0.9098196392785571,67.55947136563877,6,1,5,1,1000,30
15,1,20,0.0,0.0,2,1,2,1,1000,2
10,1,12,0.0,0.0,3,1,2,1,1000,3
19,1,8,0.25250501002004005,21.03174603174603,1000,1,1000,13,1000,1000
19,1,4,0.501002004008016,30.0,1000,1,1000,1000,1000,1000
2,1,10,0.0,0.0,1,3,1,1,5,1
3,1,13,0.23246492985971945,7.543103448275862,1,1,1,1,10,1
16,1,10,0.0,0.0,107,1,10,4,1000,1000
5,1,20,0.0,0.0,1,1,1,1,1000,1
15,1,15,0.0,0.0,4,1,4,1,1000,8
9,1,9,0.0,0.0,4,1,4,1,1000,6
12,1,10,0.0,0.0,6,1,5,1,1000,16
4,1,2,0.0,0.0,1000,1,8,1000,1000,1000
19,1,18,0.056112224448897796,16.464285714285715,5,1,5,1,1000,7
7,1,5,0.8016032064128257,19.13,7,1,5,3,1000,11
20,1,17,0.9418837675350702,160.4808510638298,7,1,6,1,1000,19
7,1,18,0.1683366733466934,13.488095238095237,1,1,1,1,1000,1
16,1,6,0.0,0.0,1000,1,1000,1000,1000,1000
9,1,7,0.4308617234468938,16.590697674418603,6,1,5,3,1000,11
17,1,8,0.12625250501002003,17.73015873015873,1000,1,1000,7,1000,1000
6,1,15,0.0,0.0,1,1,1,1,1000,1
6,1,9,0.0,0.0,2,1,2,1,1000,2
12,1,19,0.31462925851703405,39.94267515923567,2,1,2,1,1000,2
14,1,20,0.0,0.0,2,1,2,1,1000,2
4,1,12,0.0,0.0,1,1,1,1,1000,1
6,1,18,0.0,0.0,1,1,1,1,1000,1
17,1,7,0.8577154308617234,57.47429906542056,1000,1,1000,1000,1000,1000
17,1,18,0.11022044088176353,26.90909090909091,4,1,4,1,1000,5
15,1,12,0.0,0.0,7,1,6,1,1000,16
19,1,12,0.1683366733466934,23.654761904761905,1000,1,10,3,1000,1000
16,1,1,1.0,27.210420841683366,1000,1,1000,1000,1000,1000
4,1,7,0.4308617234468938,9.0,2,1,2,1,1000,2
7,1,10,0.40080160320641284,18.44,2,1,2,1,1000,2
18,1,12,0.0,0.0,20,1,8,3,1000,15
19,1,1,1.0,31.889779559118235,1000,1,1000,1000,1000,1000
13,1,19,0.9478957915831663,114.6723044397463,2,1,2,1,1000,2
8,1,14,0.0,0.0,2,1,2,1,1000,2
7,1,2,0.501002004008016,11.752,1000,1,1000,1000,1000,1000
10,1,17,0.9418837675350702,78.08085106382978,2,1,2,1,1000,2
16,1,15,0.06813627254509018,16.235294117647058,5,1,4,1,1000,7
7,1,16,0.12625250501002003,10.73015873015873,1,1,1,1,1000,1
13,1,19,0.9478957915831663,114.6723044397463,2,1,2,1,1000,2
15,1,18,0.0,0.0,3,1,2,1,1000,3
4,1,6,0.0,0.0,2,1,2,1,1000,2
13,1,4,0.250501002004008,16.16,1000,1,1000,16,1000,1000
9,1,4,0.250501002004008,11.024,1000,1,1000,9,1000,1000
20,1,16,0.0,0.0,8,1,7,1,1000,17
9,1,9,0.0,0.0,4,1,4,1,1000,6
20,1,6,0.0,0.0,1000,1,1000,1000,1000,1000
7,1,8,0.250501002004008,13.224,3,1,2,1,1000,4
17,1,9,0.22244488977955912,27.46846846846847,1000,1,1000,5,1000,1000
10,1,3,0.3346693386773547,12.808383233532934,1000,1,1000,1000,1000,1000
9,1,12,0.0,0.0,2,1,2,1,1000,2
9,1,12,0.0,0.0,2,1,2,1,1000,2
8,1,3,0.6673346693386774,14.597597597597598,1000,1,1000,24,1000,1000
9,1,12,0.0,0.0,2,1,2,1,1000,2
7,1,18,0.1683366733466934,13.488095238095237,1,1,1,1,1000,1
20,1,7,0.2865731462925852,30.65034965034965,1000,1,1000,1000,1000,1000
10,1,12,0.0,0.0,3,1,2,1,1000,3
11,1,8,0.25250501002004005,15.46031746031746,8,1,6,3,1000,12
20,1,18,0.0,0.0,6,1,5,1,1000,8
16,1,6,0.0,0.0,1000,1,1000,1000,1000,1000
6,1,11,0.9098196392785571,30.766519823788546,2,1,2,1,1000,2
4,1,12,0.0,0.0,1,1,1,1,1000,1
7,1,9,0.3346693386773547,14.934131736526947,2,1,2,1,1000,2
19,1,4,0.501002004008016,30.0,1000,1,1000,1000,1000,1000
20,1,13,0.9238476953907816,123.16919739696313,37,1,9,3,1000,25
6,1,5,0.20040080160320642,9.86,5,1,4,3,1000,10
10,1,19,0.9478957915831663,86.92389006342495,2,1,2,1,1000,2
12,1,9,0.0,0.0,7,1,6,3,1000,39
14,1,13,0.0781563126252505,16.28205128205128,5,1,4,1,1000,7
13,1,7,0.2865731462925852,22.265734265734267,1000,1,1000,6,1000,1000
7,1,16,0.12625250501002003,10.73015873015873,1,1,1,1,1000,1
19,1,20,0.10020040080160321,28.12,4,1,4,1,1000,5
2,1,17,0.4709418837675351,8.625531914893617,1,1,1,1,5,1
16,1,9,0.3346693386773547,30.227544910179642,1000,1,64,5,1000,1000
8,1,15,0.27054108216432865,14.503703703703703,2,1,2,1,1000,2
10,1,8,0.0,0.0,6,1,5,3,1000,14
19,1,1,1.0,31.889779559118235,1000,1,1000,1000,1000,1000
18,1,13,0.30861723446893785,43.577922077922075,8,1,8,1,1000,13
3,1,8,0.25250501002004005,7.031746031746032,1,1,1,1,13,1
5,1,10,0.0,0.0,1,1,1,1,1000,1
10,1,10,0.0,0.0,4,1,4,1,1000,6
5,1,10,0.0,0.0,1,1,1,1,1000,1
5,1,14,0.4288577154308617,17.345794392523363,1,1,1,1,1000,1
3,1,3,0.0,0.0,3,1,2,4,1000,4
3,1,3,0.0,0.0,3,1,2,4,1000,4
5,1,20,0.0,0.0,1,1,1,1,1000,1
17,1,12,0.1683366733466934,19.761904761904763,9,1,8,2,1000,12
3,1,13,0.23246492985971945,7.543103448275862,1,1,1,1,10,1
16,1,18,0.0,0.0,4,1,3,1,1000,4
19,1,9,0.11222444889779559,16.946428571428573,1000,1,1000,6,1000,1000
4,1,11,0.45691382765531063,11.640350877192983,1,1,1,1,1000,1
9,1,3,0.0,0.0,1000,1,1000,1000,1000,1000
15,1,15,0.0,0.0,4,1,4,1,1000,8
3,1,7,0.8577154308617234,11.186915887850468,1,1,1,1,46,1
20,1,19,0.05410821643286573,15.814814814814815,6,1,5,1,1000,7
3,1,18,0.0,0.0,1,1,1,1,9,1
17,1,15,0.27054108216432865,26.31111111111111,6,1,5,1,1000,8
6,1,12,0.0,0.0,1,1,1,1,1000,1
13,1,15,0.2685370741482966,28.365671641791046,3,1,2,1,1000,4
9,1,1,1.0,16.517034068136272,1000,1,1000,1000,1000,1000
11,1,20,0.10020040080160321,15.24,2,1,2,1,1000,2
19,1,9,0.11222444889779559,16.946428571428573,1000,1,1000,6,1000,1000
