a_divisor,b_multiplier,c_adder,collatz_conv_rate,z_v1,z_log,z_polar,z_reciprocal,escape_v1,escape_log,escape_polar,escape_reciprocal
3,3,1,0.0,(1+0.3333333333333333j),(-1-2.09861228866811j),(1.2649110640673515+0.4216370213557839j),(0.1111111111111111+0.3333333333333333j),1,0,1,100
10,5,2,0.0,(0.5+0.2j),(-1.6931471805599454-2.6094379124341005j),(0.6499336836196816+0.25997347344787264j),(0.02+0.05j),4,0,3,100
9,4,8,0.0,(0.4444444444444444+0.8888888888888888j),(-1.8109302162163288-1.1177830356563836j),(0.596284793999944+1.1925695879998877j),(0.027777777777777776+0.013888888888888888j),2,0,1,100
6,9,8,0.0,(1.5+1.3333333333333333j),(-0.5945348918918356-0.7123179275482192j),(2.117659736270369+1.882364210018106j),(0.018518518518518517+0.020833333333333332j),0,6,0,100
2,3,9,0.0,(1.5+4.5j),(-0.5945348918918356+0.5040773967762742j),(1.8973665961010275+5.692099788303082j),(0.16666666666666666+0.05555555555555555j),0,11,0,100
2,4,5,0.0,(2+2.5j),(-0.3068528194400547-0.0837092681258449j),(2.8111277139949093+3.513909642493636j),(0.125+0.1j),0,100,0,100
9,4,10,0.0,(0.4444444444444444+1.1111111111111112j),(-1.8109302162163288-0.8946394843421737j),(0.5777188298841613+1.4442970747104031j),(0.027777777777777776+0.011111111111111112j),1,0,1,100
10,8,5,0.0,(0.8+0.5j),(-1.2231435513142097-1.6931471805599454j),(1.1023977952066144+0.6889986220041341j),(0.0125+0.02j),2,0,1,100
5,5,1,0.0,(1+0.2j),(-1-2.6094379124341005j),(1.1766968108291043+0.23533936216582088j),(0.04+0.2j),1,0,1,100
4,9,8,0.0,(2.25+2j),(-0.18906978378367123-0.3068528194400547j),(3.1764896044055537+2.823546315027159j),(0.027777777777777776+0.03125j),0,100,0,100
2,10,7,0.0,(5+3.5j),(0.6094379124341003+0.25276296849536806j),(6.963471324411844+4.874429927088291j),(0.05+0.07142857142857142j),0,3,0,100
3,5,5,0.0,(1.6666666666666667+1.6666666666666667j),(-0.4891743762340094-0.4891743762340094j),(2.3570226039551585+2.357022603955158j),(0.06666666666666667+0.06666666666666667j),0,100,0,100
7,5,7,0.0,(0.7142857142857143+1j),(-1.336472236621213-1j),(0.9964083320898794+1.3949716649258315j),(0.02857142857142857+0.02040816326530612j),1,2,1,100
8,7,7,0.0,(0.875+0.875j),(-1.1335313926245227-1.1335313926245227j),(1.2374368670764582+1.237436867076458j),(0.017857142857142856+0.017857142857142856j),1,2,1,100
10,10,5,0.0,(1+0.5j),(-1-1.6931471805599454j),(1.3416407864998738+0.6708203932499369j),(0.01+0.02j),1,1,1,100
9,5,7,0.0,(0.5555555555555556+0.7777777777777778j),(-1.587786664902119-1.251314428280906j),(0.7749842582921285+1.0849779616089799j),(0.022222222222222223+0.015873015873015872j),2,0,1,100
5,4,10,0.0,(0.8+2j),(-1.2231435513142097-0.3068528194400547j),(1.0398938937914908+2.5997347344787265j),(0.05+0.02j),0,12,0,100
6,10,10,0.0,(1.6666666666666667+1.6666666666666667j),(-0.4891743762340094-0.4891743762340094j),(2.3570226039551585+2.357022603955158j),(0.016666666666666666+0.016666666666666666j),0,100,0,100
9,1,1,1.0,(0.1111111111111111+0.1111111111111111j),(-3.1972245773362196-3.1972245773362196j),(0.15713484026367722+0.15713484026367722j),(0.1111111111111111+0.1111111111111111j),100,0,100,100
9,7,3,0.0,(0.7777777777777778+0.3333333333333333j),(-1.251314428280906-2.09861228866811j),(1.02127225557562+0.4376881095324085j),(0.015873015873015872+0.037037037037037035j),2,0,1,100
9,8,10,0.0,(0.8888888888888888+1.1111111111111112j),(-1.1177830356563836-0.8946394843421737j),(1.2493900951088486+1.5617376188860606j),(0.013888888888888888+0.011111111111111112j),1,2,1,100
